taxa_id,estimate,statistic,p.value,parameter,conf.low,conf.high,method,alternative,fdr_p.value,agg_level
ASV_102,0.6200994724615118,2.9574648461959505,0.010391201005471955,14,0.1796011238970625,0.8534620063769205,Pearson's product-moment correlation,two.sided,0.2932627839322085,none
ASV_118,0.6691792216204103,3.369446699450413,0.004583165212389459,14,0.25958098006010233,0.8747246469550214,Pearson's product-moment correlation,two.sided,0.2932627839322085,none
ASV_119,0.6550319979448307,3.2436495742271334,0.005886603589282371,14,0.23593564511781093,0.8686758132375042,Pearson's product-moment correlation,two.sided,0.2932627839322085,none
ASV_189,0.623178730319207,2.981437873122428,0.00990938419533562,14,0.18445348244924364,0.8548192620224861,Pearson's product-moment correlation,two.sided,0.2932627839322085,none
ASV_217,0.6610558623067826,3.2964462306331153,0.0052996268472833355,14,0.24594348656381085,0.871259208169291,Pearson's product-moment correlation,two.sided,0.2932627839322085,none
ASV_31,0.6230311566651776,2.980283829316522,0.00993206541984121,14,0.18422044385208458,0.8547542876717001,Pearson's product-moment correlation,two.sided,0.2932627839322085,none
ASV_35,0.6499680497168562,3.200106377870485,0.006419182969071217,14,0.22759079631660678,0.8664950602606873,Pearson's product-moment correlation,two.sided,0.2932627839322085,none
ASV_71,0.6289730155470029,3.027166704830979,0.009050635060423777,14,0.19364259598004946,0.8573646661864864,Pearson's product-moment correlation,two.sided,0.2932627839322085,none
ASV_8,0.6391830798511828,3.1097974924645384,0.007681431416681214,14,0.21002269841832574,0.8618228811418674,Pearson's product-moment correlation,two.sided,0.2932627839322085,none
ASV_1063,0.6000056896633865,2.8062846200440767,0.014005975740276724,14,0.14845462905710616,0.8445267815197436,Pearson's product-moment correlation,two.sided,0.35575178380302874,none
ASV_297,0.5847177024931948,2.6968860466670375,0.017362194359710186,14,0.12534264883651516,0.8376361393333507,Pearson's product-moment correlation,two.sided,0.40090885157876244,none
ASV_138,0.5782329361476647,2.651825612630588,0.01896141113597014,14,0.11568747010136941,0.8346887901705928,Pearson's product-moment correlation,two.sided,0.40134986904470127,none
ASV_12,0.5666081007610985,2.5729196185647276,0.022111512728033855,14,0.0985952964883464,0.8293682317174372,Pearson's product-moment correlation,two.sided,0.4159523915641791,none
ASV_282,0.563810565425345,2.5542746040676976,0.022926509771253968,14,0.09452285079884432,0.8280806763967774,Pearson's product-moment correlation,two.sided,0.4159523915641791,none
ASV_54,0.552963324432565,2.483179808726049,0.026307227747301487,14,0.07887937220415037,0.8230617708136475,Pearson's product-moment correlation,two.sided,0.44546905652097185,none
ASV_3,-0.5453512323051515,-2.43438187649013,0.02889867651022794,14,-0.8195143652446888,-0.06803917040278565,Pearson's product-moment correlation,two.sided,0.45876648959986854,none
ASV_177,0.5393423960370183,2.3964691380235634,0.031078353334803483,14,0.059560988304239906,0.8166991942059912,Pearson's product-moment correlation,two.sided,0.46434716159059325,none
ASV_134,-0.4865752651921786,-2.083925557486581,0.05597132806151166,14,-0.7913972087875204,0.012032208741701411,Pearson's product-moment correlation,two.sided,0.47389057758746655,none
ASV_163,-0.4865752651921783,-2.08392555748658,0.055971328061511796,14,-0.7913972087875202,0.012032208741701744,Pearson's product-moment correlation,two.sided,0.47389057758746655,none
ASV_166,-0.48657526519217864,-2.0839255574865816,0.05597132806151164,14,-0.7913972087875204,0.0120322087417013,Pearson's product-moment correlation,two.sided,0.47389057758746655,none
ASV_216,-0.4865752651921785,-2.0839255574865807,0.05597132806151168,14,-0.7913972087875203,0.012032208741701633,Pearson's product-moment correlation,two.sided,0.47389057758746655,none
ASV_243,-0.48657526519217853,-2.0839255574865807,0.05597132806151168,14,-0.7913972087875204,0.012032208741701411,Pearson's product-moment correlation,two.sided,0.47389057758746655,none
ASV_353,0.4903722811782099,2.10530987742496,0.05380182069344719,14,-0.007045724417362131,0.793253442525268,Pearson's product-moment correlation,two.sided,0.47389057758746655,none
ASV_36,0.48752589079770914,2.089264721508687,0.055422208220810655,14,-0.010786109224399756,0.7918624658503982,Pearson's product-moment correlation,two.sided,0.47389057758746655,none
ASV_372,-0.4865752651921783,-2.08392555748658,0.055971328061511796,14,-0.7913972087875202,0.012032208741701744,Pearson's product-moment correlation,two.sided,0.47389057758746655,none
ASV_46,0.5069764298352964,2.2007196214425426,0.04503949977841932,14,0.015054446883517114,0.8013050513213449,Pearson's product-moment correlation,two.sided,0.47389057758746655,none
ASV_471,0.5014840890800588,2.1688089512189124,0.047810266936830076,14,0.0076905370673281,0.7986534795567334,Pearson's product-moment correlation,two.sided,0.47389057758746655,none
ASV_65,-0.4865752651921783,-2.08392555748658,0.055971328061511796,14,-0.7913972087875202,0.012032208741701744,Pearson's product-moment correlation,two.sided,0.47389057758746655,none
ASV_7,0.49653087392674933,2.1403313526813386,0.05041623591108222,14,0.001095079243280722,0.7962522485566936,Pearson's product-moment correlation,two.sided,0.47389057758746655,none
ASV_88,-0.4865752651921786,-2.083925557486581,0.05597132806151166,14,-0.7913972087875204,0.012032208741701411,Pearson's product-moment correlation,two.sided,0.47389057758746655,none
ASV_281,0.469376487690793,1.9889577628043198,0.06661431846682647,14,-0.03431238892867408,0.7829183136214327,Pearson's product-moment correlation,two.sided,0.4976481438404095,none
ASV_301,0.4712556089287113,1.999187821978668,0.06538468106943873,14,-0.031902199709692255,0.7838504121002917,Pearson's product-moment correlation,two.sided,0.4976481438404095,none
ASV_516,0.4703479125113659,1.9942419145793042,0.06597655827065675,14,-0.03306715588837218,0.7834003442442912,Pearson's product-moment correlation,two.sided,0.4976481438404095,none
ASV_63,0.47587964631851876,2.024511105903336,0.06242963680689163,14,-0.025946318176306424,0.7861380857144961,Pearson's product-moment correlation,two.sided,0.4976481438404095,none
ASV_469,-0.4663551626994275,-1.972581993236621,0.06862666354424639,14,-0.7814166920980594,0.03817534183804105,Pearson's product-moment correlation,two.sided,0.49803350114967376,none
ASV_203,0.4497340281511021,1.8840363238781206,0.08049658394122852,14,-0.059160217603437565,0.7730900899042952,Pearson's product-moment correlation,two.sided,0.5249942355368109,none
ASV_264,0.4495849059258611,1.8832533267795253,0.08060935112573081,14,-0.05934647666355401,0.7730148770788183,Pearson's product-moment correlation,two.sided,0.5249942355368109,none
ASV_48,0.44972372580642406,1.8839822229363647,0.08050437098336863,14,-0.05917308674459443,0.7730848939997309,Pearson's product-moment correlation,two.sided,0.5249942355368109,none
ASV_85,0.44969271959362955,1.883819404978716,0.08052781034897455,14,-0.0592118170362946,0.7730692560041859,Pearson's product-moment correlation,two.sided,0.5249942355368109,none
ASV_41,0.4453199552220251,1.860942284736931,0.08388291373872038,14,-0.06465859654371141,0.770859906820176,Pearson's product-moment correlation,two.sided,0.5326565022408744,none
ASV_94,0.432867211579881,1.7966908568461661,0.09398602204588598,14,-0.08000520094519153,0.7645249239717151,Pearson's product-moment correlation,two.sided,0.5822548682842692,none
ASV_137,0.4213542284824117,1.7384164368377175,0.10407057772750689,14,-0.09398059718169037,0.7586104601101895,Pearson's product-moment correlation,two.sided,0.5942990837968551,none
ASV_145,0.406989685891502,1.6671352744319619,0.11769252931720198,14,-0.11113724482752435,0.7511523210837834,Pearson's product-moment correlation,two.sided,0.5942990837968551,none
ASV_18,-0.38754209756765706,-1.5729745568781104,0.13804585017328524,14,-0.7409130741132003,0.13388306354243354,Pearson's product-moment correlation,two.sided,0.5942990837968551,none
ASV_192,0.3997794455790978,1.6319214144099272,0.12497778696519822,14,-0.11963411128362107,0.7473753151149019,Pearson's product-moment correlation,two.sided,0.5942990837968551,none
ASV_24,0.3952644466102507,1.6100551589022016,0.12969534064723517,14,-0.12491632498404608,0.7449986874219094,Pearson's product-moment correlation,two.sided,0.5942990837968551,none
ASV_254,0.4165028461285598,1.7141700173042118,0.10854017401297901,14,-0.0998093999739126,0.756101444773495,Pearson's product-moment correlation,two.sided,0.5942990837968551,none
ASV_262,-0.38754209756765706,-1.5729745568781104,0.13804585017328524,14,-0.7409130741132003,0.13388306354243354,Pearson's product-moment correlation,two.sided,0.5942990837968551,none
ASV_29,0.4021351789816393,1.643386224102301,0.12256411152115612,14,-0.11686635437924968,0.7486118164346643,Pearson's product-moment correlation,two.sided,0.5942990837968551,none
ASV_290,0.3899445000840565,1.5844677862780052,0.13540966471891014,14,-0.13110265373778926,0.7421869065853273,Pearson's product-moment correlation,two.sided,0.5942990837968551,none
ASV_38,0.39776463884686664,1.6221463696517944,0.12706807612355311,14,-0.12199492450220221,0.7463158490255518,Pearson's product-moment correlation,two.sided,0.5942990837968551,none
ASV_472,-0.4065223707428223,-1.6648417903637303,0.1181555261316432,14,-0.750908204130854,0.11169025497459156,Pearson's product-moment correlation,two.sided,0.5942990837968551,none
ASV_51,-0.38754209756765706,-1.5729745568781104,0.13804585017328524,14,-0.7409130741132003,0.13388306354243354,Pearson's product-moment correlation,two.sided,0.5942990837968551,none
ASV_520,-0.38754209756765706,-1.5729745568781104,0.13804585017328524,14,-0.7409130741132003,0.13388306354243354,Pearson's product-moment correlation,two.sided,0.5942990837968551,none
ASV_673,-0.38754209756765706,-1.5729745568781104,0.13804585017328524,14,-0.7409130741132003,0.13388306354243354,Pearson's product-moment correlation,two.sided,0.5942990837968551,none
ASV_74,0.4222173764773031,1.7427492004936895,0.10328916871355624,14,-0.09293983328963859,0.7590558133008033,Pearson's product-moment correlation,two.sided,0.5942990837968551,none
ASV_81,-0.38754209756765706,-1.5729745568781104,0.13804585017328524,14,-0.7409130741132003,0.13388306354243354,Pearson's product-moment correlation,two.sided,0.5942990837968551,none
